HRS1,marital,childs,age,educ,sex,born,income,region,partyid,polviews,attend,pray
40,1,0,39,14,1,2,12,8,0,4,0,1
40,5,0,27,18,2,1,10,8,4,6,7,1
40,3,3,34,12,2,1,10,8,3,4,2,2
40,1,1,34,12,1,2,12,8,3,4,7,1
82,5,1,38,17,2,1,12,8,1,4,5,2
40,3,0,59,13,2,1,12,8,6,7,0,6
40,5,5,32,14,2,1,12,8,3,4,0,6
45,3,3,38,14,1,1,10,4,0,6,7,1
57,3,1,58,12,2,1,12,4,0,3,2,1
40,1,2,53,16,1,1,12,4,6,6,3,1
40,1,2,42,13,2,1,12,4,6,6,5,2
37,1,6,55,17,1,1,12,4,6,6,4,1
45,1,3,51,16,1,2,12,4,6,6,2,5
35,1,4,38,16,2,2,12,4,0,4,5,1
45,1,2,39,12,1,1,12,3,5,4,0,6
56,5,2,38,16,2,1,12,3,1,4,0,3
60,3,1,56,12,1,1,12,3,1,4,3,2
45,5,0,37,14,1,1,12,9,5,2,1,5
45,1,1,32,16,1,1,12,9,3,3,1,5
50,1,2,53,13,1,1,12,9,5,4,2,4
40,1,1,24,12,1,1,12,9,1,6,7,2
40,5,1,23,12,1,1,12,9,1,4,0,6
52,3,3,42,12,1,1,12,9,3,4,0,6
40,1,1,31,14,1,2,12,9,3,4,5,2
55,1,0,36,17,2,2,12,9,3,5,0,6
89,3,2,41,14,1,1,12,8,4,4,0,6
50,1,2,40,18,1,1,12,8,1,4,0,6
60,1,3,43,12,1,2,12,8,5,6,3,1
32,3,1,59,14,2,1,12,8,3,4,8,1
65,3,2,53,16,1,1,12,8,0,2,7,3
40,1,1,29,12,2,1,12,8,6,6,7,2
40,5,0,30,16,1,1,11,8,0,1,2,6
50,1,4,40,12,1,2,12,8,3,2,3,2
40,5,0,29,16,1,1,12,8,2,4,2,5
40,5,0,27,5,2,1,11,8,2,2,0,6
1,1,2,64,16,1,1,12,8,4,5,2,5
50,1,1,49,16,2,1,12,8,5,5,3,2
48,5,0,42,16,1,1,12,8,2,4,0,6
40,1,0,50,12,2,2,12,8,2,2,0,1
38,5,0,23,16,2,1,12,8,2,5,3,5
30,5,0,49,14,1,1,12,3,6,6,2,4
32,1,2,68,12,2,1,12,3,7,6,2,2
40,1,4,63,11,1,1,12,3,2,2,0,1
65,1,2,55,17,1,1,12,3,5,6,3,1
46,5,2,42,13,1,1,12,3,2,2,2,2
60,5,0,53,12,2,1,12,3,5,4,2,5
34,5,1,56,17,2,1,9,3,4,4,0,2
57,5,1,35,13,1,1,12,3,7,5,0,6
80,5,1,23,13,2,1,12,3,1,4,3,2
46,5,0,22,12,2,1,10,3,5,4,2,2
40,5,0,29,15,1,1,12,3,0,3,2,2
50,1,3,56,12,1,1,12,3,3,5,1,5
43,5,1,36,12,1,1,11,3,1,3,0,6
44,3,1,53,11,1,1,12,3,4,5,0,2
56,5,0,44,12,1,1,12,3,4,5,0,6
40,5,1,66,20,2,1,12,4,0,4,7,1
40,5,4,40,12,2,1,12,4,0,4,3,1
40,1,1,50,13,2,1,12,4,3,4,0,2
50,1,3,50,12,2,1,12,4,0,4,3,1
48,5,1,41,11,1,1,12,4,0,3,0,6
40,5,3,39,14,2,1,11,4,3,5,1,2
42,3,0,55,14,1,1,12,4,3,6,5,1
60,1,2,47,18,1,2,12,4,3,4,0,5
70,1,2,60,20,1,1,12,4,0,2,6,1
40,1,2,48,18,2,1,12,4,1,4,4,1
50,1,2,30,19,2,1,12,4,4,2,3,2
40,3,2,58,12,2,1,12,4,7,6,8,1
50,1,1,57,13,2,1,11,4,0,4,2,3
40,1,1,55,15,2,1,12,4,7,5,1,2
40,1,2,54,12,2,1,12,5,6,4,7,1
75,3,4,47,14,2,2,12,5,4,4,0,2
40,1,2,62,18,1,2,12,5,0,2,0,6
